hour,weekday,hour_sin,hour_cos,weekday_sin,weekday_cos,is_morning_rush,is_evening_rush,is_rush_hour,is_weekend,delay_lag_1,delay_lag_2,delay_lag_3,station_mean_delay,station_std_delay,station_900003103,station_900003201,station_900023201,station_900024101,station_900024102,station_900024203,station_900048101,station_900052201,station_900053301,station_900230000,station_900230003,station_900230999,delay_minutes
7,5,0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,1,0,1,1,1.0,0.0,2.0,1.0170648464163823,1.090937242706889,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3
10,3,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0,0,0,0,2.0,0.0,0.0,0.8104312938816449,1.1995529264844385,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13,3,-0.2588190451025208,-0.9659258262890683,0.43388373911755823,-0.900968867902419,0,0,0,0,0.0,0.0,0.0,0.7891304347826087,1.203500201894722,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,4,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0,0,0,0,1.0,3.0,1.0,1.248780487804878,0.6458905079605987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
17,5,-0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,0,1,1,1,0.0,0.0,1.0,0.8104312938816449,1.1995529264844385,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
11,3,0.258819045102521,-0.9659258262890682,0.43388373911755823,-0.900968867902419,0,0,0,0,0.0,0.0,0.0,0.7488207547169812,1.1486344342151846,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
16,4,-0.8660254037844384,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0,1,1,0,0.0,0.0,0.0,1.1923809523809523,1.0929791751147662,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10,5,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0,0,0,1,1.0,1.0,1.0,1.2550052687038988,1.0694692505258445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
15,3,-0.7071067811865471,-0.7071067811865479,0.43388373911755823,-0.900968867902419,0,0,0,0,1.0,3.0,0.0,1.326783867631851,1.1093132459630524,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10,3,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0,0,0,0,2.0,1.0,1.0,1.1923809523809523,1.0929791751147662,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,3,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,0,0,0,0,0.0,0.0,0.0,0.6594301221166893,1.1322333647218012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
14,6,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,0,0,0,1,1.0,1.0,0.0,1.0170648464163823,1.090937242706889,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5,5,0.9659258262890683,0.25881904510252074,-0.9749279121818236,-0.2225209339563146,0,0,0,1,0.0,1.0,1.0,1.0494791666666667,1.0546243736538514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6,0,1.0,6.123233995736766e-17,0.0,1.0,0,0,0,0,1.0,1.0,1.0,1.344186046511628,0.9325260392025844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
22,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,0,0,0,1,1.0,0.0,1.0,1.1923809523809523,1.0929791751147662,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
4,4,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0,0,0,0,1.0,1.0,1.0,1.1923809523809523,1.0929791751147662,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5,4,0.9659258262890683,0.25881904510252074,-0.433883739117558,-0.9009688679024191,0,0,0,0,0.0,0.0,0.0,0.7488207547169812,1.1486344342151846,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
9,5,0.7071067811865476,-0.7071067811865475,-0.9749279121818236,-0.2225209339563146,1,0,1,1,1.0,0.0,1.0,1.1923809523809523,1.0929791751147662,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
23,4,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,0,0,0,0,4.0,3.0,1.0,1.0494791666666667,1.0546243736538514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
17,3,-0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,0,1,1,0,1.0,0.0,0.0,0.7891304347826087,1.203500201894722,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
21,5,-0.7071067811865477,0.7071067811865474,-0.9749279121818236,-0.2225209339563146,0,0,0,1,1.0,2.0,0.0,0.7488207547169812,1.1486344342151846,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
20,4,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0,0,0,0,5.0,1.0,1.0,1.0494791666666667,1.0546243736538514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
23,6,-0.25881904510252157,0.9659258262890681,-0.7818314824680299,0.6234898018587334,0,0,0,1,1.0,0.0,1.0,1.0494791666666667,1.0546243736538514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9,5,0.7071067811865476,-0.7071067811865475,-0.9749279121818236,-0.2225209339563146,1,0,1,1,1.0,1.0,1.0,1.2550052687038988,1.0694692505258445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
19,6,-0.9659258262890684,0.2588190451025203,-0.7818314824680299,0.6234898018587334,0,1,1,1,1.0,1.0,1.0,1.8736141906873613,1.199811104456012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
13,6,-0.2588190451025208,-0.9659258262890683,-0.7818314824680299,0.6234898018587334,0,0,0,1,1.0,1.0,1.0,1.2550052687038988,1.0694692505258445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
18,3,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,0,1,1,0,2.0,1.0,2.0,1.248780487804878,0.6458905079605987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
9,0,0.7071067811865476,-0.7071067811865475,0.0,1.0,1,0,1,0,0.0,1.0,2.0,1.0494791666666667,1.0546243736538514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4,6,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0,0,0,1,1.0,1.0,1.0,0.8104312938816449,1.1995529264844385,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
20,6,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0,0,0,1,0.0,0.0,1.0,0.7891304347826087,1.203500201894722,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13,4,-0.2588190451025208,-0.9659258262890683,-0.433883739117558,-0.9009688679024191,0,0,0,0,2.0,0.0,0.0,0.6594301221166893,1.1322333647218012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
11,4,0.258819045102521,-0.9659258262890682,-0.433883739117558,-0.9009688679024191,0,0,0,0,3.0,3.0,4.0,1.8736141906873613,1.199811104456012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
22,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,0,0,0,0,3.0,1.0,4.0,1.248780487804878,0.6458905079605987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
12,3,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,0,0,0,0,0.0,1.0,0.0,0.7891304347826087,1.203500201894722,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
23,5,-0.25881904510252157,0.9659258262890681,-0.9749279121818236,-0.2225209339563146,0,0,0,1,1.0,1.0,1.0,1.0494791666666667,1.0546243736538514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13,4,-0.2588190451025208,-0.9659258262890683,-0.433883739117558,-0.9009688679024191,0,0,0,0,0.0,0.0,0.0,0.6594301221166893,1.1322333647218012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
15,5,-0.7071067811865471,-0.7071067811865479,-0.9749279121818236,-0.2225209339563146,0,0,0,1,1.0,2.0,3.0,1.326783867631851,1.1093132459630524,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
16,4,-0.8660254037844384,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0,1,1,0,1.0,2.0,1.0,1.248780487804878,0.6458905079605987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
10,4,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,0,0,0,0,1.0,2.0,1.0,1.248780487804878,0.6458905079605987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
10,5,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0,0,0,1,0.0,1.0,1.0,1.0494791666666667,1.0546243736538514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
12,4,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0,0,0,0,1.0,1.0,0.0,1.326783867631851,1.1093132459630524,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
18,5,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,0,1,1,1,1.0,2.0,0.0,1.0170648464163823,1.090937242706889,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3
20,6,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0,0,0,1,0.0,0.0,0.0,0.7488207547169812,1.1486344342151846,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
19,6,-0.9659258262890684,0.2588190451025203,-0.7818314824680299,0.6234898018587334,0,1,1,1,0.0,1.0,1.0,1.0170648464163823,1.090937242706889,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
12,6,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,0,0,0,1,2.0,1.0,0.0,1.0170648464163823,1.090937242706889,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3
9,0,0.7071067811865476,-0.7071067811865475,0.0,1.0,1,0,1,0,1.0,1.0,1.0,1.1923809523809523,1.0929791751147662,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
16,6,-0.8660254037844384,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,0,1,1,1,1.0,1.0,1.0,1.0170648464163823,1.090937242706889,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
16,6,-0.8660254037844384,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,0,1,1,1,0.0,1.0,1.0,1.8736141906873613,1.199811104456012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
9,6,0.7071067811865476,-0.7071067811865475,-0.7818314824680299,0.6234898018587334,1,0,1,1,1.0,0.0,1.0,1.0494791666666667,1.0546243736538514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
4,6,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0,0,0,1,1.0,1.0,0.0,1.326783867631851,1.1093132459630524,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,4,0.0,1.0,-0.433883739117558,-0.9009688679024191,0,0,0,0,0.0,1.0,1.0,0.7891304347826087,1.203500201894722,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
16,3,-0.8660254037844384,-0.5000000000000004,0.43388373911755823,-0.900968867902419,0,1,1,0,0.0,0.0,0.0,0.7891304347826087,1.203500201894722,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
7,3,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,1,0,1,0,1.0,1.0,1.0,1.0494791666666667,1.0546243736538514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5,0,0.9659258262890683,0.25881904510252074,0.0,1.0,0,0,0,0,0.0,0.0,1.0,0.8104312938816449,1.1995529264844385,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
17,5,-0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,0,1,1,1,0.0,1.0,0.0,0.7891304347826087,1.203500201894722,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9,3,0.7071067811865476,-0.7071067811865475,0.43388373911755823,-0.900968867902419,1,0,1,0,1.0,2.0,2.0,1.1923809523809523,1.0929791751147662,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
16,4,-0.8660254037844384,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0,1,1,0,0.0,0.0,0.0,0.8104312938816449,1.1995529264844385,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
22,5,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,0,0,0,1,1.0,1.0,0.0,1.1923809523809523,1.0929791751147662,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
17,5,-0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,0,1,1,1,1.0,1.0,0.0,1.326783867631851,1.1093132459630524,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
11,5,0.258819045102521,-0.9659258262890682,-0.9749279121818236,-0.2225209339563146,0,0,0,1,1.0,2.0,2.0,1.3919239904988123,0.9054498244988454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
14,4,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,0,0,0,0,0.0,0.0,0.0,0.7488207547169812,1.1486344342151846,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
15,4,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191,0,0,0,0,3.0,2.0,1.0,1.0170648464163823,1.090937242706889,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4,4,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0,0,0,0,1.0,1.0,1.0,1.0170648464163823,1.090937242706889,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,0,0.7071067811865476,-0.7071067811865475,0.0,1.0,1,0,1,0,2.0,0.0,1.0,1.0494791666666667,1.0546243736538514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4,5,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0,0,0,1,0.0,0.0,0.0,1.0494791666666667,1.0546243736538514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
16,5,-0.8660254037844384,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,0,1,1,1,0.0,0.0,1.0,1.1923809523809523,1.0929791751147662,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,0,0.7071067811865476,-0.7071067811865475,0.0,1.0,1,0,1,0,1.0,0.0,1.0,1.1923809523809523,1.0929791751147662,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,6,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0,0,0,1,0.0,0.0,0.0,1.0494791666666667,1.0546243736538514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
18,6,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,0,1,1,1,0.0,1.0,1.0,0.7891304347826087,1.203500201894722,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8,4,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,1,0,1,0,2.0,1.0,1.0,1.344186046511628,0.9325260392025844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
7,5,0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,1,0,1,1,1.0,0.0,1.0,1.0170648464163823,1.090937242706889,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
6,0,1.0,6.123233995736766e-17,0.0,1.0,0,0,0,0,1.0,1.0,0.0,0.7891304347826087,1.203500201894722,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13,6,-0.2588190451025208,-0.9659258262890683,-0.7818314824680299,0.6234898018587334,0,0,0,1,2.0,1.0,2.0,1.8736141906873613,1.199811104456012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
14,4,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,0,0,0,0,1.0,1.0,1.0,1.326783867631851,1.1093132459630524,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
18,3,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,0,1,1,0,2.0,2.0,0.0,0.6594301221166893,1.1322333647218012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
9,5,0.7071067811865476,-0.7071067811865475,-0.9749279121818236,-0.2225209339563146,1,0,1,1,0.0,1.0,1.0,1.0170648464163823,1.090937242706889,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
7,4,0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,1,0,1,0,1.0,0.0,1.0,0.8104312938816449,1.1995529264844385,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
17,5,-0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,0,1,1,1,3.0,1.0,1.0,1.326783867631851,1.1093132459630524,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
20,6,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0,0,0,1,1.0,1.0,0.0,0.7488207547169812,1.1486344342151846,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
16,6,-0.8660254037844384,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,0,1,1,1,1.0,0.0,1.0,0.8104312938816449,1.1995529264844385,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
12,5,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,0,0,0,1,1.0,0.0,3.0,0.7891304347826087,1.203500201894722,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
12,6,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,0,0,0,1,0.0,1.0,2.0,1.0170648464163823,1.090937242706889,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
18,6,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,0,1,1,1,1.0,0.0,1.0,0.6594301221166893,1.1322333647218012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
23,5,-0.25881904510252157,0.9659258262890681,-0.9749279121818236,-0.2225209339563146,0,0,0,1,3.0,1.0,0.0,1.2550052687038988,1.0694692505258445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5,0,0.9659258262890683,0.25881904510252074,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.7891304347826087,1.203500201894722,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
21,4,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191,0,0,0,0,1.0,0.0,1.0,1.0494791666666667,1.0546243736538514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
21,5,-0.7071067811865477,0.7071067811865474,-0.9749279121818236,-0.2225209339563146,0,0,0,1,1.0,0.0,6.0,0.8104312938816449,1.1995529264844385,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8,6,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,1,0,1,1,0.0,0.0,0.0,0.7891304347826087,1.203500201894722,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9,5,0.7071067811865476,-0.7071067811865475,-0.9749279121818236,-0.2225209339563146,1,0,1,1,0.0,1.0,0.0,0.7891304347826087,1.203500201894722,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,0,0.7071067811865476,-0.7071067811865475,0.0,1.0,1,0,1,0,0.0,1.0,0.0,1.0170648464163823,1.090937242706889,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5
19,3,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,0,1,1,0,0.0,1.0,0.0,0.7488207547169812,1.1486344342151846,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2
18,4,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,0,1,1,0,0.0,1.0,0.0,0.7488207547169812,1.1486344342151846,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2
11,3,0.258819045102521,-0.9659258262890682,0.43388373911755823,-0.900968867902419,0,0,0,0,0.0,0.0,0.0,0.6594301221166893,1.1322333647218012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
19,5,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.2225209339563146,0,1,1,1,3.0,1.0,2.0,1.0494791666666667,1.0546243736538514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7,4,0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,1,0,1,0,1.0,2.0,1.0,1.2550052687038988,1.0694692505258445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
17,3,-0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,0,1,1,0,1.0,1.0,0.0,1.0494791666666667,1.0546243736538514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
21,5,-0.7071067811865477,0.7071067811865474,-0.9749279121818236,-0.2225209339563146,0,0,0,1,1.0,1.0,2.0,0.7488207547169812,1.1486344342151846,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5
20,6,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0,0,0,1,1.0,0.0,0.0,0.8104312938816449,1.1995529264844385,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,5,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0,0,0,1,2.0,1.0,1.0,1.2550052687038988,1.0694692505258445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
17,6,-0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,0,1,1,1,1.0,1.0,1.0,1.1923809523809523,1.0929791751147662,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10,4,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,0,0,0,0,0.0,0.0,1.0,0.7488207547169812,1.1486344342151846,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
23,5,-0.25881904510252157,0.9659258262890681,-0.9749279121818236,-0.2225209339563146,0,0,0,1,1.0,3.0,1.0,1.1923809523809523,1.0929791751147662,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
16,5,-0.8660254037844384,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,0,1,1,1,0.0,0.0,1.0,0.8104312938816449,1.1995529264844385,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,6,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,0,0,1,1.0,1.0,1.0,1.2550052687038988,1.0694692505258445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
15,4,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191,0,0,0,0,1.0,2.0,0.0,0.7891304347826087,1.203500201894722,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,5,0.0,1.0,-0.9749279121818236,-0.2225209339563146,0,0,0,1,1.0,2.0,1.0,1.0494791666666667,1.0546243736538514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
12,5,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,0,0,0,1,0.0,3.0,2.0,1.0170648464163823,1.090937242706889,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
